"Id","Sales"
1,6892.67
2,5492.44
3,6623.92
4,6563.40
5,4737.25
6,5955.62
7,5261.68
8,4743.17
9,6362.99
10,6685.67
11,6866.09
12,6868.78
13,7749.39
14,5544.68
15,6356.22
16,7584.13
17,6177.56
18,7207.38
19,6967.93
20,5610.95
21,6696.52
22,5241.83
23,6036.96
24,4432.63
25,6687.21
26,4745.38
27,6860.96
28,6442.63
29,5173.17
30,4563.28
31,5598.43
32,6122.89
33,6048.35
34,6732.41
35,6614.08
36,4806.44
37,5194.69
38,6185.71
39,6282.07
40,5670.06
41,5844.17
42,4748.48
43,7663.25
44,5981.67
45,6239.47
46,5555.35
47,5783.22
48,5913.54
49,4749.38
50,6157.39
51,7240.72
52,6371.16
53,6535.96
54,6138.12
55,6136.10
56,4808.36
57,5776.49
58,6427.92
59,6111.64
60,5657.62
61,6150.02
62,5642.35
63,5017.80
64,6622.72
65,6362.63
66,6270.66
67,6756.74
68,6699.30
69,5811.06
70,3924.09
71,5637.67
72,5779.25
73,6897.17
74,4146.60
75,6897.80
76,7331.09
77,6160.88
78,6186.51
79,6281.07
80,6367.42
81,6335.69
82,6513.37
83,5741.28
84,6077.26
85,5588.94
86,6388.35
87,3948.14
88,5444.23
89,7105.87
90,7137.60
91,6282.92
92,6301.82
93,6288.46
94,5846.85
95,4624.36
96,5470.20
97,6496.62
98,5907.91
99,6048.37
100,6303.24
101,5949.50
102,6667.54
103,5570.39
104,6593.71
105,6422.31
106,5445.26
107,4603.01
108,5598.05
109,6623.06
110,4543.29
111,4978.94
112,5795.26
113,5126.40
114,5851.93
115,5826.04
116,6336.54
117,7448.07
118,7537.37
119,4969.66
120,5516.74
121,6929.15
122,6580.97
123,4713.69
124,5879.66
125,7436.87
126,5362.62
127,5653.29
128,5015.21
129,5318.65
130,5585.48
131,3549.34
132,7022.93
133,4785.29
134,6524.19
135,6231.19
136,7896.02
137,5782.61
138,7775.14
139,5568.64
140,6400.45
141,6785.69
142,5785.39
143,6281.88
144,5626.62
145,4104.27
146,4607.63
147,5359.81
148,4949.64
149,5693.19
